epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,679.428,2.20896,3.20639,2.4268,0.26325,0.28244,0.19265,0.06608,2.50349,3.41846,2.84725,0.000648649,0.000648649,0.000648649
2,1521.03,1.659,1.62971,1.96011,0.00702,0.18321,0.00343,0.00071,3.35021,64.0533,4.10113,0.00125021,0.00125021,0.00125021
3,2268.68,1.74649,1.67066,2.08017,0.0605,0.32824,0.14181,0.07548,1.92739,26.2854,2.44425,0.00178577,0.00178577,0.00178577
4,3110.11,1.61322,1.52533,1.92068,0.39874,0.34351,0.31556,0.1614,1.97461,2.75671,2.22233,0.001703,0.001703,0.001703
5,4096.41,1.52741,1.37996,1.8466,0.79335,0.70334,0.75639,0.46313,1.48714,1.88953,1.88571,0.001604,0.001604,0.001604
6,5082.52,1.49022,1.2792,1.81878,0.60769,0.47328,0.4851,0.28071,1.79443,2.64517,2.10528,0.001505,0.001505,0.001505
