epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,707.372,2.20779,3.20663,2.42848,0.29747,0.35878,0.23984,0.08757,2.46454,3.44923,2.80083,0.000648649,0.000648649,0.000648649
2,1445.88,1.65132,1.60912,1.96858,0.50275,0.38931,0.3927,0.19129,2.09372,4.41106,2.45456,0.00105488,0.00105488,0.00105488
3,2194.34,1.6765,1.5817,1.98967,0.43871,0.45038,0.47371,0.23855,1.8771,4.10963,2.23721,0.00119712,0.00119712,0.00119712
4,2985.57,1.52288,1.37639,1.86796,0.66073,0.62439,0.66078,0.34387,1.72324,2.50916,2.14736,0.000812,0.000812,0.000812
5,3851.59,1.4356,1.17091,1.78162,0.81026,0.80153,0.86454,0.53055,1.48237,1.15859,1.8632,0.000416,0.000416,0.000416
