epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,674.159,2.20896,3.20639,2.4268,0.26318,0.28244,0.19255,0.06602,2.50344,3.42065,2.84652,0.000648649,0.000648649,0.000648649
2,1516.85,1.66042,1.62591,1.9584,0.00709,0.12977,0.00305,0.00054,3.16122,85.4574,4.08498,0.00130229,0.00130229,0.00130229
3,2360.06,1.7562,1.67969,2.08291,0.08489,0.35878,0.2065,0.126,2.00817,29.5534,2.34755,0.00194274,0.00194274,0.00194274
4,3229.8,1.65128,1.64739,1.92702,0.24357,0.56489,0.39046,0.18422,1.78186,11.1925,2.02823,0.0019406,0.0019406,0.0019406
5,4026.68,1.53444,1.46254,1.81978,0.62069,0.61832,0.61695,0.36587,1.55502,2.77676,1.94929,0.0019208,0.0019208,0.0019208
6,4883.19,1.53451,1.33892,1.81353,0.67017,0.54962,0.63567,0.38618,1.54745,2.10711,1.84786,0.001901,0.001901,0.001901
