epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,868.154,2.20897,3.20641,2.42681,0.29898,0.25954,0.1935,0.06649,2.50229,3.41494,2.84386,0.000648649,0.000648649,0.000648649
2,1720.79,1.64513,1.61165,1.95629,0.32882,0.27481,0.26714,0.10217,2.39785,13.1579,2.77561,0.00105488,0.00105488,0.00105488
3,2602.61,1.66014,1.55307,1.97375,0.50776,0.30534,0.38972,0.24027,1.70612,4.38048,2.02464,0.00119712,0.00119712,0.00119712
4,3449.73,1.52296,1.38415,1.85505,0.3275,0.60305,0.44003,0.28556,1.56955,4.20377,2.04816,0.000812,0.000812,0.000812
